id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5497581495",null,null,null,null,"2",null,null,null,"Stromnetz Hamburg",null,"1","11 kW",9.9810271,53.5460508
"node/5497581496",null,"400","32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9827791,53.5447708
"node/5497581497",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2","22 kW",9.9763338,53.546024
"node/5497581498",null,null,"32",null,"2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9361345,53.5541393
"node/5497632660",null,null,null,null,null,null,null,null,null,null,null,null,13.3732431,54.0919364
"node/5498412193",null,null,null,"yes","4","yes",null,"24/7",null,null,"1","43kW",10.8527823,53.5105312
"node/5498438800",null,null,null,"yes",null,"no",null,"24/7",null,null,"1","43kW",10.8028583,53.521793
"node/5498438801",null,null,null,"yes","2","no",null,"24/7",null,null,"1","43kW",10.8056223,53.5200996
"node/5498472158",null,null,null,null,"4","no",null,"24/7",null,null,"2","36 kW;22 kW",11.0876834,53.5007565
"node/5498499331",null,null,null,"yes","2","no",null,"24/7",null,null,"1","43kW",12.4691036,53.115188
"node/5498499336",null,null,null,"yes","2","no",null,"24/7","e-on Drive",null,"1","43kW",12.4668311,53.115299
"node/5498533142",null,"230",null,null,"1","no",null,null,"Slawendorf Neustrelitz","1",null,null,13.045633,53.3578067
"node/5498548975",null,"230",null,null,"2","no",null,null,"Autohaus Grützner GmbH","2",null,null,13.2629576,53.5263886
"node/5498600882",null,null,null,"yes","2",null,null,null,"Neubrandenburger Stadtwerke GmbH",null,"2","22 kW",13.2612785,53.5585985
"node/5498610994",null,null,null,"yes","2","no",null,null,"Autohaus Eschengrund",null,"1","22 kW",13.2695907,53.5811749
"node/5498617456",null,null,null,null,"2","no",null,null,null,"2","2","22 kW",13.2890327,53.5849909
"node/5498862747",null,null,null,null,"1","yes",null,"24/7","VILA VITA Anneliese Pohl Seedorf",null,"1","11 kW",12.2832459,53.4043785
"node/5498879968",null,null,null,"yes","2",null,null,"24/7","Stadtwerke Parchim GmbH",null,"2","22 kW",11.8455791,53.4258753
"node/5498879969",null,null,null,"yes","2",null,null,"24/7","Stadtwerke Parchim GmbH",null,"2","22 kW",11.8419823,53.4188641
"node/5498926297",null,null,null,"yes","2",null,null,"24/7","allego",null,"1","43 kW",11.626326,53.3808238
"node/5498926298",null,null,null,"yes","2",null,null,"24/7","EWE AG",null,"1","21 kW",11.628394,53.3804598
"node/5499319484",null,null,null,null,"1",null,null,"24/7","EVDB AG","2","2","11 kW",10.7312018,53.2906762
"node/5499334172",null,null,null,null,"1","no",null,"24/7","Manzke",null,"2","3,7 kW",10.5317929,53.2081579
"node/5499347146",null,null,null,"yes","2",null,null,"24/7","Stadtwerke Parchim GmbH",null,"2","22 kW",11.5017964,53.3212251
"node/5499359236",null,null,null,null,"2","yes",null,null,"innogy SE",null,"2","22kW",7.0315946,51.2811052
"node/5499368708",null,null,null,null,null,null,null,null,null,null,"1",null,7.4789199,50.5818234
"node/5499427340",null,null,null,"yes","2",null,null,"24/7","EWE",null,null,null,8.0582182,52.8420575
"node/5499497048",null,null,null,null,"2","no",null,"24/7","Flughafen Stuttgart GmbH",null,"2",null,9.1918273,48.6905248
"node/5499502090",null,null,null,null,null,null,null,null,null,null,null,null,9.1957642,48.6918619
"node/5503087332",null,null,null,null,"2","no",null,"24/7","Stadtwerke Heide",null,"2",null,8.9974326,54.1638049
"node/5503763425",null,null,null,null,"2","no",null,"24/7",null,"2","2",null,7.1147753,49.5810391
"node/5504473020","Gesamtschule Bad Lippspringe – Schlangen",null,"32",null,null,null,null,null,"WestfalenWeserNetz",null,"2",null,8.8186507,51.7805068
"node/5504772589",null,null,null,null,null,null,null,"24/7","EGG Energieversorgung Gera",null,null,null,12.0734586,50.8811347
"node/5505516064",null,null,null,null,null,null,null,null,"EGG Energieversorgung Gera",null,null,null,12.0839651,50.8719383
"node/5505722108",null,null,null,null,null,null,null,null,"EGG Energieversorgung Gera",null,null,null,12.0841236,50.8871345
"node/5505726023",null,null,null,null,null,null,null,"24/7","EGG Energieversorgung Gera",null,null,null,12.0880109,50.8485151
